"","Especie","Registros","GBIF","CBC","Reino","Filo","Clase","Orden","Familia","Género"
"15057","Trevoria glumacea",3,"https://www.gbif.org/species/5305895",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trevoria"
"15058","Triaeris stenaspis",4,"https://www.gbif.org/species/2140406",NA,"Animalia","Arthropoda","Arachnida","Araneae","Oonopidae","Triaeris"
"15059","Trialeurodes vaporariorum",1,"https://www.gbif.org/species/2012132",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Aleyrodidae","Trialeurodes"
"15060","Trianaea brevipes",3,"https://www.gbif.org/species/3801564",NA,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Trianaea"
"15061","Triandrophyllum subtrifidum",11,"https://www.gbif.org/species/2689384",NA,"Plantae","Marchantiophyta","Jungermanniopsida","Jungermanniales","Herbertaceae","Triandrophyllum"
"15062","Triatoma venosa",13,"https://www.gbif.org/species/8742858",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Reduviidae","Triatoma"
"15063","Tribolium castaneum",2,"https://www.gbif.org/species/4990338",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Tribolium"
"15064","Trichaetipyga infantilis",47,"https://www.gbif.org/species/2022297",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Membracidae","Trichaetipyga"
"15065","Trichanthecium polycomum",1,"https://www.gbif.org/species/8384759",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Trichanthecium"
"15066","Trichanthecium pyrularium",2,"https://www.gbif.org/species/7684557",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Trichanthecium"
"15067","Trichanthera gigantea",110,"https://www.gbif.org/species/7263447","https://catalogo.biodiversidad.co/file/56e7abde83c45700544e42cf/summary","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Trichanthera"
"15068","Trichaphodiellus brasiliensis",24,"https://www.gbif.org/species/1068215",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Trichaphodiellus"
"15069","Trichaptum sector",2,"https://www.gbif.org/species/5247281",NA,"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales",NA,"Trichaptum"
"15070","Tricharia sipmanii",2,"https://www.gbif.org/species/6755079",NA,"Fungi","Ascomycota","Lecanoromycetes","Ostropales","Gomphillaceae","Tricharia"
"15071","Trichilia acuminata",5,"https://www.gbif.org/species/9211510","https://catalogo.biodiversidad.co/file/56e6d86783c45700544e3ec9/summary","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Trichilia"
"15072","Trichilia appendiculata",3,"https://www.gbif.org/species/3852023",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Trichilia"
"15073","Trichilia carinata",5,"https://www.gbif.org/species/3851612","https://catalogo.biodiversidad.co/file/56702f50f289f5a40c0cd2d0/summary","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Trichilia"
"15074","Trichilia elegans",1,"https://www.gbif.org/species/7271353",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Trichilia"
"15075","Trichilia havanensis",4,"https://www.gbif.org/species/7271307",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Trichilia"
"15076","Trichilia hirta",35,"https://www.gbif.org/species/3190494",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Trichilia"
"15077","Trichilia martiana",14,"https://www.gbif.org/species/3849592",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Trichilia"
"15078","Trichilia maynasiana",33,"https://www.gbif.org/species/3849551",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Trichilia"
"15079","Trichilia moschata",1,"https://www.gbif.org/species/7271515",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Trichilia"
"15080","Trichilia oligofoliolata",15,"https://www.gbif.org/species/3852399","https://catalogo.biodiversidad.co/file/5669a78a6752b5394179b66d/summary","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Trichilia"
"15081","Trichilia pallens",2,"https://www.gbif.org/species/3852312",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Trichilia"
"15082","Trichilia pallida",82,"https://www.gbif.org/species/3190491",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Trichilia"
"15083","Trichilia tomentosa",1,"https://www.gbif.org/species/3850644",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Trichilia"
"15084","Trichloris pluriflora",1,"https://www.gbif.org/species/5289626",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Trichloris"
"15085","Trichobioides perspicillatus",7,"https://www.gbif.org/species/1639380",NA,"Animalia","Arthropoda","Insecta","Diptera","Hippoboscidae","Trichobioides"
"15086","Trichobius costalimai",8,"https://www.gbif.org/species/5088579",NA,"Animalia","Arthropoda","Insecta","Diptera","Hippoboscidae","Trichobius"
"15087","Trichobius dugesii",3,"https://www.gbif.org/species/5088575",NA,"Animalia","Arthropoda","Insecta","Diptera","Hippoboscidae","Trichobius"
"15088","Trichobius joblingi",6,"https://www.gbif.org/species/5088578",NA,"Animalia","Arthropoda","Insecta","Diptera","Hippoboscidae","Trichobius"
"15089","Trichobius parasiticus",6,"https://www.gbif.org/species/5088525",NA,"Animalia","Arthropoda","Insecta","Diptera","Hippoboscidae","Trichobius"
"15090","Trichobius uniformis",7,"https://www.gbif.org/species/5088563",NA,"Animalia","Arthropoda","Insecta","Diptera","Hippoboscidae","Trichobius"
"15091","Trichocentrum ascendens",2,"https://www.gbif.org/species/2846599",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trichocentrum"
"15092","Trichocentrum carthagenense",10,"https://www.gbif.org/species/2846572","https://catalogo.biodiversidad.co/file/56e8410483c45700544e43eb/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trichocentrum"
"15093","Trichocentrum cebolleta",7,"https://www.gbif.org/species/2846478",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trichocentrum"
"15094","Trichocentrum luridum",2,"https://www.gbif.org/species/2846447",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trichocentrum"
"15095","Trichocentrum pulchrum",8,"https://www.gbif.org/species/2846538",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trichocentrum"
"15096","Trichocera annulata",1,"https://www.gbif.org/species/5072562",NA,"Animalia","Arthropoda","Insecta","Diptera","Trichoceridae","Trichocera"
"15097","Trichocolea filicaulis",6,"https://www.gbif.org/species/7584952",NA,"Plantae","Marchantiophyta","Jungermanniopsida","Jungermanniales","Trichocoleaceae","Trichocolea"
"15098","Trichoderma aggressivum",1,"https://www.gbif.org/species/5251368",NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"15099","Trichoderma asperellum",18,"https://www.gbif.org/species/5251325",NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"15100","Trichoderma atroviride",6,"https://www.gbif.org/species/5251334",NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"15101","Trichoderma harzianum",1,"https://www.gbif.org/species/5251352",NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"15102","Trichoderma koningiopsis",2,"https://www.gbif.org/species/5483308",NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"15103","Trichoderma lixii",1,"https://www.gbif.org/species/7392269",NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"15104","Trichoderma longibrachiatum",1,"https://www.gbif.org/species/5251347",NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"15105","Trichodrymonia gibbosa",1,"https://www.gbif.org/species/10841617",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Gesneriaceae","Trichodrymonia"
"15106","Trichodrymonia tylocalyx",1,"https://www.gbif.org/species/10794312",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Gesneriaceae","Trichodrymonia"
"15107","Trichogonia vittata",1,"https://www.gbif.org/species/5155610",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Trichogonia"
"15108","Trichomanes crispum",11,"https://www.gbif.org/species/5275177",NA,"Plantae","Tracheophyta","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Trichomanes"
"15109","Trichomanes lucens",9,"https://www.gbif.org/species/5533363",NA,"Plantae","Tracheophyta","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Trichomanes"
"15110","Trichomanes pellucens",5,"https://www.gbif.org/species/5532919",NA,"Plantae","Tracheophyta","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Trichomanes"
"15111","Trichomanes pinnatum",3,"https://www.gbif.org/species/5275202",NA,"Plantae","Tracheophyta","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Trichomanes"
"15112","Trichomanes polypodioides",1,"https://www.gbif.org/species/5275210",NA,"Plantae","Tracheophyta","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Trichomanes"
"15113","Trichomanes vandenboschii",2,"https://www.gbif.org/species/5533025",NA,"Plantae","Tracheophyta","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Trichomanes"
"15114","Trichomerium coffeicola",1,"https://www.gbif.org/species/3289805",NA,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Trichomerium"
"15115","Trichomycterus banneaui",18,"https://www.gbif.org/species/2343032","https://catalogo.biodiversidad.co/file/59dcddbb5f369343443000c0/summary","Animalia","Chordata",NA,"Siluriformes","Trichomycteridae","Trichomycterus"
"15116","Trichomycterus bogotensis",72,"https://www.gbif.org/species/2343210","https://catalogo.biodiversidad.co/file/59dce67e5f3693434430016f/summary","Animalia","Chordata",NA,"Siluriformes","Trichomycteridae","Trichomycterus"
"15117","Trichomycterus iheringi",2,"https://www.gbif.org/species/2343177",NA,"Animalia","Chordata",NA,"Siluriformes","Trichomycteridae","Trichomycterus"
"15118","Trichomycterus knerii",2,"https://www.gbif.org/species/2343194",NA,"Animalia","Chordata",NA,"Siluriformes","Trichomycteridae","Trichomycterus"
"15119","Trichomycterus latistriatus",1,"https://www.gbif.org/species/2343063","https://catalogo.biodiversidad.co/file/59d985a75f369343442fe4cf/summary","Animalia","Chordata",NA,"Siluriformes","Trichomycteridae","Trichomycterus"
"15120","Trichomycterus migrans",1,"https://www.gbif.org/species/2343147","https://catalogo.biodiversidad.co/file/59d195445f369343442f8827/summary","Animalia","Chordata",NA,"Siluriformes","Trichomycteridae","Trichomycterus"
"15121","Trichomycterus retropinnis",2,"https://www.gbif.org/species/2343199","https://catalogo.biodiversidad.co/file/59d99ac45f369343442fe60f/summary","Animalia","Chordata",NA,"Siluriformes","Trichomycteridae","Trichomycterus"
"15122","Trichomycterus steindachneri",3,"https://www.gbif.org/species/8045614","https://catalogo.biodiversidad.co/file/59d198e95f369343442f8892/summary","Animalia","Chordata",NA,"Siluriformes","Trichomycteridae","Trichomycterus"
"15123","Trichomycterus stellatus",6,"https://www.gbif.org/species/2343043","https://catalogo.biodiversidad.co/file/59da87a35f369343442fe9a5/summary","Animalia","Chordata",NA,"Siluriformes","Trichomycteridae","Trichomycterus"
"15124","Trichomycterus striatus",6,"https://www.gbif.org/species/2343077",NA,"Animalia","Chordata",NA,"Siluriformes","Trichomycteridae","Trichomycterus"
"15125","Trichonephila clavipes",60,"https://www.gbif.org/species/10886629",NA,"Animalia","Arthropoda","Arachnida","Araneae","Araneidae","Trichonephila"
"15126","Trichopilia fragrans",6,"https://www.gbif.org/species/4934932",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trichopilia"
"15127","Trichopilia laxa",1,"https://www.gbif.org/species/2790550",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trichopilia"
"15128","Trichopilia subulata",1,"https://www.gbif.org/species/2790559",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trichopilia"
"15129","Trichoprosopon digitatum",4,"https://www.gbif.org/species/1654798",NA,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Trichoprosopon"
"15130","Trichosalpinx arbuscula",3,"https://www.gbif.org/species/2791677",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trichosalpinx"
"15131","Trichosalpinx escobarii",1,"https://www.gbif.org/species/2791769",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trichosalpinx"
"15132","Trichosalpinx intricata",7,"https://www.gbif.org/species/2791623",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trichosalpinx"
"15133","Trichosalpinx memor",1,"https://www.gbif.org/species/2791834",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trichosalpinx"
"15134","Trichosalpinx multicuspidata",4,"https://www.gbif.org/species/2791618",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trichosalpinx"
"15135","Trichosalpinx pusilla",2,"https://www.gbif.org/species/2791798",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trichosalpinx"
"15136","Trichosalpinx scabridula",1,"https://www.gbif.org/species/2791795",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trichosalpinx"
"15137","Trichoscelia andina",1,"https://www.gbif.org/species/9327520",NA,"Animalia","Arthropoda","Insecta","Neuroptera","Mantispidae","Trichoscelia"
"15138","Trichospira verticillata",1,"https://www.gbif.org/species/3087526",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Trichospira"
"15139","Trichostigma octandrum",7,"https://www.gbif.org/species/5383980","https://catalogo.biodiversidad.co/file/593a1b572f4fd7bc7f385d2b/summary","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Phytolaccaceae","Trichostigma"
"15140","Trichostomopsis australasiae",12,"https://www.gbif.org/species/4280621",NA,"Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Trichostomopsis"
"15141","Trichostomopsis paramicola",7,"https://www.gbif.org/species/12242869",NA,"Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Trichostomopsis"
"15142","Trichostomopsis umbrosa",1,"https://www.gbif.org/species/8112550",NA,"Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Trichostomopsis"
"15143","Trichostomum brachydontium",6,"https://www.gbif.org/species/5280813",NA,"Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Trichostomum"
"15144","Trichostomum lindigii",1,"https://www.gbif.org/species/5280789","https://catalogo.biodiversidad.co/file/61ccb57c404c1a7630292873/summary","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Trichostomum"
"15145","Trichothelium akeassii",1,"https://www.gbif.org/species/5953311",NA,"Fungi","Ascomycota","Lecanoromycetes","Ostropales","Porinaceae","Trichothelium"
"15146","Trichothelium bipindense",1,"https://www.gbif.org/species/3419552",NA,"Fungi","Ascomycota","Lecanoromycetes","Ostropales","Porinaceae","Trichothelium"
"15147","Tricorynus palliatus",1,"https://www.gbif.org/species/1095409",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Anobiidae","Tricorynus"
"15148","Tridax procumbens",7,"https://www.gbif.org/species/3149462",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Tridax"
"15149","Trifolium amabile",7,"https://www.gbif.org/species/5358989",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium"
"15150","Trifolium campestre",4,"https://www.gbif.org/species/5359477",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium"
"15151","Trifolium dubium",49,"https://www.gbif.org/species/5359429",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium"
"15152","Trifolium micranthum",3,"https://www.gbif.org/species/5359250",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium"
"15153","Trifolium pratense",338,"https://www.gbif.org/species/8324121","https://catalogo.biodiversidad.co/file/594044502f4fd7bc7f394199/summary","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium"
"15154","Trifolium repens",568,"https://www.gbif.org/species/5358748",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium"
"15155","Triggella infuscata",2,"https://www.gbif.org/species/8230100",NA,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Triggella"
"15156","Triglochin scilloides",5,"https://www.gbif.org/species/8010297",NA,"Plantae","Tracheophyta","Liliopsida","Alismatales","Juncaginaceae","Triglochin"
"15157","Trigona amalthea",10,"https://www.gbif.org/species/5040810",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Trigona"
"15158","Trigona fulviventris",28,"https://www.gbif.org/species/5040807",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Trigona"
"15159","Trigona fuscipennis",4,"https://www.gbif.org/species/5040795",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Trigona"
"15160","Trigona pallens",1,"https://www.gbif.org/species/5040788",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Trigona"
"15161","Trigona williana",1,"https://www.gbif.org/species/5040793",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Trigona"
"15162","Trigonia nivea",1,"https://www.gbif.org/species/7309957",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Trigoniaceae","Trigonia"
"15163","Trilepida brevissima",1,"https://www.gbif.org/species/7381678",NA,"Animalia","Chordata","Squamata",NA,"Leptotyphlopidae","Trilepida"
"15164","Trilepida joshuai",1,"https://www.gbif.org/species/7409115",NA,"Animalia","Chordata","Squamata",NA,"Leptotyphlopidae","Trilepida"
"15165","Trilepida macrolepis",2,"https://www.gbif.org/species/7715706","https://catalogo.biodiversidad.co/file/56ce72863c16479905cba7a3/summary","Animalia","Chordata","Squamata",NA,"Leptotyphlopidae","Trilepida"
"15166","Trimezia coerulea",1,"https://www.gbif.org/species/9256007",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","Trimezia"
"15167","Trimezia martinicensis",1,"https://www.gbif.org/species/2749648",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","Trimezia"
"15168","Trimezia steyermarkii",1,"https://www.gbif.org/species/2749673",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","Trimezia"
"15169","Trina geometrina",3,"https://www.gbif.org/species/1943475",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Trina"
"15170","Tringa flavipes",531,"https://www.gbif.org/species/2481721","https://catalogo.biodiversidad.co/file/56cf81eb3c16479905cba7e7/summary","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa"
"15171","Tringa melanoleuca",841,"https://www.gbif.org/species/2481720","https://catalogo.biodiversidad.co/file/56cf86733c16479905cba7e9/summary","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa"
"15172","Tringa solitaria",1937,"https://www.gbif.org/species/2481710","https://catalogo.biodiversidad.co/file/56cf8b1b3c16479905cba7eb/summary","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa"
"15173","Triniochloa andina",5,"https://www.gbif.org/species/4118681",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Triniochloa"
"15174","Triniochloa stipoides",17,"https://www.gbif.org/species/4118637",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Triniochloa"
"15175","Trinycteris nicefori",1,"https://www.gbif.org/species/4265371","https://catalogo.biodiversidad.co/file/56c7bfe4f0106c67230e7412/summary","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Trinycteris"
"15176","Triodanis perfoliata",2,"https://www.gbif.org/species/3167003",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Triodanis"
"15177","Triplaris americana",97,"https://www.gbif.org/species/4038608",NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Triplaris"
"15178","Triplaris cumingiana",4,"https://www.gbif.org/species/4038399",NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Triplaris"
"15179","Triplaris melaenodendron",13,"https://www.gbif.org/species/7291872",NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Triplaris"
"15180","Triplaris weigeltiana",2,"https://www.gbif.org/species/4037419",NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Triplaris"
"15181","Triplectides flintorum",1,"https://www.gbif.org/species/1435858",NA,"Animalia","Arthropoda","Insecta","Trichoptera","Leptoceridae","Triplectides"
"15182","Tripleurospermum inodorum",1,"https://www.gbif.org/species/3104179",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Tripleurospermum"
"15183","Triplocania dimitrii",1,"https://www.gbif.org/species/9255553",NA,"Animalia","Arthropoda","Insecta","Psocodea","Ptiloneuridae","Triplocania"
"15184","Tripogonella spicata",4,"https://www.gbif.org/species/10722542",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripogonella"
"15185","Triportheus magdalenae",10,"https://www.gbif.org/species/2353250","https://catalogo.biodiversidad.co/file/596ebdf32f4fd7bc7f3a49f7/summary","Animalia","Chordata",NA,"Characiformes","Triportheidae","Triportheus"
"15186","Tripsacum cundinamarcae",3,"https://www.gbif.org/species/4931992",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum"
"15187","Tripsacum cundinamarce",2,"https://www.gbif.org/species/4115705",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum"
"15188","Tripsacum dactyloides",3,"https://www.gbif.org/species/2705536",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum"
"15189","Tripsacum laxum",1,"https://www.gbif.org/species/2705532",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum"
"15190","Triquetrella papillata",1,"https://www.gbif.org/species/5280186",NA,"Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Triquetrella"
"15191","Tristerix longebracteatus",1,"https://www.gbif.org/species/8055197",NA,"Plantae","Tracheophyta","Magnoliopsida","Santalales","Loranthaceae","Tristerix"
"15192","Tristerix secundus",13,"https://www.gbif.org/species/4003756",NA,"Plantae","Tracheophyta","Magnoliopsida","Santalales","Loranthaceae","Tristerix"
"15193","Tristicha trifaria",1,"https://www.gbif.org/species/7296095",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Podostemaceae","Tristicha"
"15194","Triticum aestivum",10,"https://www.gbif.org/species/7795888",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Triticum"
"15195","Triumfetta bogotensis",17,"https://www.gbif.org/species/3152065","https://catalogo.biodiversidad.co/file/594c8fd62f4fd7bc7f39943a/summary","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Triumfetta"
"15196","Triumfetta calycina",1,"https://www.gbif.org/species/4260797",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Triumfetta"
"15197","Triumfetta grandiflora",2,"https://www.gbif.org/species/7311080",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Triumfetta"
"15198","Triumfetta mollissima",23,"https://www.gbif.org/species/4259369",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Triumfetta"
"15199","Triumfetta semitriloba",3,"https://www.gbif.org/species/3152072",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Triumfetta"
"15200","Triumfetta sericata",2,"https://www.gbif.org/species/4261195",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Triumfetta"
"15201","Trixis divaricata",3,"https://www.gbif.org/species/7336039",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Trixis"
"15202","Trixis inula",41,"https://www.gbif.org/species/5398966",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Trixis"
"15203","Trixis proustioides",15,"https://www.gbif.org/species/5399005",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Trixis"
"15204","Trizeuxis falcata",25,"https://www.gbif.org/species/2801401","https://catalogo.biodiversidad.co/file/56e8419f83c45700544e43f0/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trizeuxis"
"15205","Trizogeniates foveicollis",2,"https://www.gbif.org/species/5987955",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Trizogeniates"
"15206","Trogia papyracea",3,"https://www.gbif.org/species/3320764",NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Trogia"
"15207","Troglodytes aedon",19562,"https://www.gbif.org/species/5231459","https://catalogo.biodiversidad.co/file/56cf90d83c16479905cba7ee/summary","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes"
"15208","Troglodytes solstitialis",1039,"https://www.gbif.org/species/5231437","https://catalogo.biodiversidad.co/file/56cf97a03c16479905cba7f2/summary","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes"
"15209","Trogon caligatus",3,"https://www.gbif.org/species/5788446",NA,"Animalia","Chordata","Aves","Trogoniformes","Trogonidae","Trogon"
"15210","Trogon chionurus",1,"https://www.gbif.org/species/5788448",NA,"Animalia","Chordata","Aves","Trogoniformes","Trogonidae","Trogon"
"15211","Trogon collaris",53,"https://www.gbif.org/species/2496700",NA,"Animalia","Chordata","Aves","Trogoniformes","Trogonidae","Trogon"
"15212","Trogon curucui",1,"https://www.gbif.org/species/2496659",NA,"Animalia","Chordata","Aves","Trogoniformes","Trogonidae","Trogon"
"15213","Trogon melanurus",3,"https://www.gbif.org/species/2496663",NA,"Animalia","Chordata","Aves","Trogoniformes","Trogonidae","Trogon"
"15214","Trogon personatus",786,"https://www.gbif.org/species/2496673",NA,"Animalia","Chordata","Aves","Trogoniformes","Trogonidae","Trogon"
"15215","Trogon viridis",37,"https://www.gbif.org/species/2496647",NA,"Animalia","Chordata","Aves","Trogoniformes","Trogonidae","Trogon"
"15216","Tropaeolum adpressum",2,"https://www.gbif.org/species/4162390",NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Tropaeolaceae","Tropaeolum"
"15217","Tropaeolum cirrhipes",1,"https://www.gbif.org/species/7274342",NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Tropaeolaceae","Tropaeolum"
"15218","Tropaeolum curvirostre",6,"https://www.gbif.org/species/4162504",NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Tropaeolaceae","Tropaeolum"
"15219","Tropaeolum deckerianum",17,"https://www.gbif.org/species/7274366",NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Tropaeolaceae","Tropaeolum"
"15220","Tropaeolum fintelmannii",2,"https://www.gbif.org/species/7274340",NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Tropaeolaceae","Tropaeolum"
"15221","Tropaeolum lindenii",2,"https://www.gbif.org/species/7549813",NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Tropaeolaceae","Tropaeolum"
