"","Especie","Registros","GBIF","CBC","Reino","Filo","Clase","Orden","Familia","Género"
"8174","Paullinia hispida",2,"https://www.gbif.org/species/3784269",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Paullinia"
"8175","Paullinia pachycarpa",2,"https://www.gbif.org/species/3788116",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Paullinia"
"8176","Paullinia panamensis",1,"https://www.gbif.org/species/3788106",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Paullinia"
"8177","Paullinia rubiginosa",1,"https://www.gbif.org/species/7265113",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Paullinia"
"8178","Paullinia rugosa",12,"https://www.gbif.org/species/3787746",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Paullinia"
"8179","Paullinia serjaniaefolia",1,"https://www.gbif.org/species/3787649",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Paullinia"
"8180","Paullinia serjaniifolia",6,"https://www.gbif.org/species/7669933",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Paullinia"
"8181","Paullinia simulans",1,"https://www.gbif.org/species/3787608",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Paullinia"
"8182","Paullinia spicithyrsa",4,"https://www.gbif.org/species/3787542",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Paullinia"
"8183","Paullinia turbacensis",1,"https://www.gbif.org/species/3787116",NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Paullinia"
"8184","Paulosawaya ursina",37,"https://www.gbif.org/species/9804400",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Paulosawaya"
"8185","Pavonia dasypetala",1,"https://www.gbif.org/species/5619129",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Pavonia"
"8186","Pavonia fruticosa",13,"https://www.gbif.org/species/5406778",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Pavonia"
"8187","Pavonia malacophylla",3,"https://www.gbif.org/species/5618725",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Pavonia"
"8188","Pavonia mutisii",1,"https://www.gbif.org/species/7279336",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Pavonia"
"8189","Pavonia paniculata",2,"https://www.gbif.org/species/5406773",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Pavonia"
"8190","Pavonia sepioides",14,"https://www.gbif.org/species/5618265",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Pavonia"
"8191","Pavonia sepium",20,"https://www.gbif.org/species/7279161",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Pavonia"
"8192","Pavonia spinifex",5,"https://www.gbif.org/species/5406784",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Pavonia"
"8193","Paxillus amati",1,"https://www.gbif.org/species/7348762",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Passalidae","Paxillus"
"8194","Pecluma absidata",3,"https://www.gbif.org/species/4028643",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Pecluma"
"8195","Pecluma camptophyllaria",16,"https://www.gbif.org/species/2650500",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Pecluma"
"8196","Pecluma consimilis",2,"https://www.gbif.org/species/2650505",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Pecluma"
"8197","Pecluma curvans",2,"https://www.gbif.org/species/4028386",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Pecluma"
"8198","Pecluma divaricata",10,"https://www.gbif.org/species/4028350",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Pecluma"
"8199","Pecluma eurybasis",31,"https://www.gbif.org/species/7290250",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Pecluma"
"8200","Pecluma hygrometrica",22,"https://www.gbif.org/species/4028220",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Pecluma"
"8201","Pecluma pectinata",9,"https://www.gbif.org/species/2650508",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Pecluma"
"8202","Pecluma plumula",1,"https://www.gbif.org/species/2650503",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Pecluma"
"8203","Pecluma ptilotos",1,"https://www.gbif.org/species/9185464",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Pecluma"
"8204","Pecluma sanctae-mariae",2,"https://www.gbif.org/species/8212710",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Pecluma"
"8205","Pectis ciliaris",1,"https://www.gbif.org/species/5405545",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pectis"
"8206","Pectis linearis",1,"https://www.gbif.org/species/5405540",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pectis"
"8207","Pectis linifolia",1,"https://www.gbif.org/species/5405569",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pectis"
"8208","Pedaliodes empusa",6,"https://www.gbif.org/species/1898695",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Pedaliodes"
"8209","Pedaliodes haydoni",3,"https://www.gbif.org/species/8483434",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Pedaliodes"
"8210","Pedaliodes pausia",75,"https://www.gbif.org/species/1898838",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Pedaliodes"
"8211","Pedaliodes peucestas",6,"https://www.gbif.org/species/1898789",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Pedaliodes"
"8212","Pedaliodes phaea",83,"https://www.gbif.org/species/1898775",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Pedaliodes"
"8213","Pedaliodes phrasicla",3,"https://www.gbif.org/species/1898812",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Pedaliodes"
"8214","Pedaliodes plotina",35,"https://www.gbif.org/species/1898751",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Pedaliodes"
"8215","Pedaliodes poesia",15,"https://www.gbif.org/species/1898850",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Pedaliodes"
"8216","Pedaliodes polusca",25,"https://www.gbif.org/species/1898806",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Pedaliodes"
"8217","Pedaliodes proerna",6,"https://www.gbif.org/species/1898761",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Pedaliodes"
"8218","Pedaliodes prytanis",5,"https://www.gbif.org/species/1898773",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Pedaliodes"
"8219","Pedioceras asymmetricum",1,"https://www.gbif.org/species/8571054",NA,"Animalia","Mollusca","Cephalopoda",NA,"Ancyloceratidae","Pedioceras"
"8220","Pedioceras caquesense",3,"https://www.gbif.org/species/8499665",NA,"Animalia","Mollusca","Cephalopoda",NA,"Ancyloceratidae","Pedioceras"
"8221","Pediococcus acidilactici",39,"https://www.gbif.org/species/3227360",NA,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus"
"8222","Pehria compacta",7,"https://www.gbif.org/species/5635448",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","Pehria"
"8223","Pelargonium graveolens",1,"https://www.gbif.org/species/2891608",NA,"Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","Pelargonium"
"8224","Pelargonium hirtum",4,"https://www.gbif.org/species/3826905",NA,"Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","Pelargonium"
"8225","Pelargonium odoratissimum",3,"https://www.gbif.org/species/8217874",NA,"Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","Pelargonium"
"8226","Pelazoneuron kunthii",3,"https://www.gbif.org/species/11842758",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Thelypteridaceae","Pelazoneuron"
"8227","Pelazoneuron patens",6,"https://www.gbif.org/species/11560516",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Thelypteridaceae","Pelazoneuron"
"8228","Pelecanus occidentalis",1,"https://www.gbif.org/species/5229158",NA,"Animalia","Chordata","Aves","Pelecaniformes","Pelecanidae","Pelecanus"
"8229","Pelecinus polyturator",3,"https://www.gbif.org/species/5048392",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Pelecinidae","Pelecinus"
"8230","Pelekium schistocalyx",2,"https://www.gbif.org/species/2679365",NA,"Plantae","Bryophyta","Bryopsida","Hypnales","Thuidiaceae","Pelekium"
"8231","Pelexia cundinamarcae",1,"https://www.gbif.org/species/2817973",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Pelexia"
"8232","Pelidnota notata",1,"https://www.gbif.org/species/5990220",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Pelidnota"
"8233","Pelidnota polita",3,"https://www.gbif.org/species/5990288",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Pelidnota"
"8234","Pelidnota prasina",13,"https://www.gbif.org/species/5990194",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Pelidnota"
"8235","Pelidnota rubriventris",8,"https://www.gbif.org/species/8397503",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Pelidnota"
"8236","Pellaea ovata",4,"https://www.gbif.org/species/5275440",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Pellaea"
"8237","Pellaea ternifolia",14,"https://www.gbif.org/species/5275439",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Pellaea"
"8238","Peltaea riedelii",2,"https://www.gbif.org/species/3936137",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Peltaea"
"8239","Peltanthera floribunda",3,"https://www.gbif.org/species/5659289",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Peltantheraceae","Peltanthera"
"8240","Peltigera austroamericana",2,"https://www.gbif.org/species/6018269",NA,"Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Peltigeraceae","Peltigera"
"8241","Peltigera canina",6,"https://www.gbif.org/species/2601144",NA,"Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Peltigeraceae","Peltigera"
"8242","Peltigera didactyla",3,"https://www.gbif.org/species/2601149",NA,"Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Peltigeraceae","Peltigera"
"8243","Peltigera dolichorhiza",4,"https://www.gbif.org/species/5953302",NA,"Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Peltigeraceae","Peltigera"
"8244","Peltigera laciniata",1,"https://www.gbif.org/species/8546113",NA,"Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Peltigeraceae","Peltigera"
"8245","Peltigera polydactylon",15,"https://www.gbif.org/species/2601145",NA,"Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Peltigeraceae","Peltigera"
"8246","Peltigera pulverulenta",16,"https://www.gbif.org/species/7250147",NA,"Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Peltigeraceae","Peltigera"
"8247","Peltigera soredians",1,"https://www.gbif.org/species/3423856",NA,"Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Peltigeraceae","Peltigera"
"8248","Peltigera spuriella",2,"https://www.gbif.org/species/3424210",NA,"Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Peltigeraceae","Peltigera"
"8249","Peltigera ulcerata",1,"https://www.gbif.org/species/3424014",NA,"Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Peltigeraceae","Peltigera"
"8250","Penaincisalia anosma",1,"https://www.gbif.org/species/1922822",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Penaincisalia"
"8251","Penaincisalia elisabeth",4,"https://www.gbif.org/species/8219301",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Penaincisalia"
"8252","Penaincisalia loxurina",5,"https://www.gbif.org/species/10560255",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Penaincisalia"
"8253","Penelope argyrotis",395,"https://www.gbif.org/species/2482208",NA,"Animalia","Chordata","Aves","Galliformes","Cracidae","Penelope"
"8254","Penelope jacquacu",6,"https://www.gbif.org/species/9462558",NA,"Animalia","Chordata","Aves","Galliformes","Cracidae","Penelope"
"8255","Penelope montagnii",777,"https://www.gbif.org/species/2482198",NA,"Animalia","Chordata","Aves","Galliformes","Cracidae","Penelope"
"8256","Penelope purpurascens",180,"https://www.gbif.org/species/2482225",NA,"Animalia","Chordata","Aves","Galliformes","Cracidae","Penelope"
"8257","Penicillium lividum",4,"https://www.gbif.org/species/2597919",NA,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"8258","Penicillium quercetorum",3,"https://www.gbif.org/species/2598011",NA,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"8259","Peniophora albobadia",1,"https://www.gbif.org/species/2552247",NA,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophora"
"8260","Penstemon hartwegii",1,"https://www.gbif.org/species/3171401",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Penstemon"
"8261","Pentacalia arborea",3,"https://www.gbif.org/species/3111182",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pentacalia"
"8262","Pentacalia breviligulata",1,"https://www.gbif.org/species/3111147",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pentacalia"
"8263","Pentacalia ellipticifolia",1,"https://www.gbif.org/species/3111420",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pentacalia"
"8264","Pentacalia haughtii",6,"https://www.gbif.org/species/3111253",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pentacalia"
"8265","Pentacalia magnusii",4,"https://www.gbif.org/species/3111190",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pentacalia"
"8266","Pentacalia paipana",1,"https://www.gbif.org/species/9491174",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pentacalia"
"8267","Pentacalia ricoensis",5,"https://www.gbif.org/species/3111293","https://catalogo.biodiversidad.co/file/5b58db10f0d3bfe0305727c3/summary","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pentacalia"
"8268","Pentacalia theifolia",9,"https://www.gbif.org/species/3111291",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pentacalia"
"8269","Pentacalia trianae",25,"https://www.gbif.org/species/3111211",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pentacalia"
"8270","Pentacyphus lehmannii",1,"https://www.gbif.org/species/3580487",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Pentacyphus"
"8271","Pentagonia macrophylla",3,"https://www.gbif.org/species/5334728",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Pentagonia"
"8272","Pentagonia magnifica",2,"https://www.gbif.org/species/5334735",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Pentagonia"
"8273","Peperomia acuminata",42,"https://www.gbif.org/species/7306059",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8274","Peperomia alata",2,"https://www.gbif.org/species/3086498",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8275","Peperomia albidiflora",1,"https://www.gbif.org/species/4190809",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8276","Peperomia ambiguifolia",26,"https://www.gbif.org/species/4190403",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8277","Peperomia angularis",26,"https://www.gbif.org/species/7305871",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8278","Peperomia angustata",2,"https://www.gbif.org/species/4189967",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8279","Peperomia apodophylla",19,"https://www.gbif.org/species/7305788",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8280","Peperomia benthamiana",1,"https://www.gbif.org/species/7863673",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8281","Peperomia bethaniana",1,"https://www.gbif.org/species/4187926",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8282","Peperomia blanda",15,"https://www.gbif.org/species/4184947",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8283","Peperomia chicamochana",11,"https://www.gbif.org/species/4185338",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8284","Peperomia cocleana",1,"https://www.gbif.org/species/4184282",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8285","Peperomia colorata",6,"https://www.gbif.org/species/4184128",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8286","Peperomia crystallina",2,"https://www.gbif.org/species/4190724",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8287","Peperomia discilimba",6,"https://www.gbif.org/species/4189306",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8288","Peperomia elongata",2,"https://www.gbif.org/species/7305454",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8289","Peperomia galioides",58,"https://www.gbif.org/species/7305021","https://catalogo.biodiversidad.co/file/56e7921a83c45700544e417b/summary","Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8290","Peperomia glabella",5,"https://www.gbif.org/species/3086385",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8291","Peperomia gleicheniiformis",6,"https://www.gbif.org/species/4184347",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8292","Peperomia haematolepis",1,"https://www.gbif.org/species/4191397",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8293","Peperomia hartwegiana",89,"https://www.gbif.org/species/7306052","https://catalogo.biodiversidad.co/file/56df7d8983c45700544e3c80/summary","Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8294","Peperomia heterophylla",6,"https://www.gbif.org/species/7305983",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8295","Peperomia hispidula",6,"https://www.gbif.org/species/7305892",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8296","Peperomia ilaloensis",6,"https://www.gbif.org/species/4189537","https://catalogo.biodiversidad.co/file/56e7923e83c45700544e417d/summary","Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8297","Peperomia inaequalifolia",1,"https://www.gbif.org/species/7305757",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8298","Peperomia lawrancei",1,"https://www.gbif.org/species/4187694",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8299","Peperomia leucostachya",11,"https://www.gbif.org/species/7305396",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8300","Peperomia mandonii",1,"https://www.gbif.org/species/4185761",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8301","Peperomia microphylla",16,"https://www.gbif.org/species/4184687",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8302","Peperomia pellucida",13,"https://www.gbif.org/species/3086412",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8303","Peperomia peltoidea",14,"https://www.gbif.org/species/4187825",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8304","Peperomia peruviana",1,"https://www.gbif.org/species/4187070",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8305","Peperomia praematura",1,"https://www.gbif.org/species/4185809",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8306","Peperomia quadrangularis",3,"https://www.gbif.org/species/4183834",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8307","Peperomia quadrifolia",28,"https://www.gbif.org/species/3086416",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8308","Peperomia rotundata",36,"https://www.gbif.org/species/7305804",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8309","Peperomia rotundifolia",27,"https://www.gbif.org/species/3086378",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8310","Peperomia saligna",148,"https://www.gbif.org/species/7305612",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8311","Peperomia santanderana",6,"https://www.gbif.org/species/4188141","https://catalogo.biodiversidad.co/file/566f0418f289f5a40c0cd26e/summary","Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8312","Peperomia sincorana",1,"https://www.gbif.org/species/4186806",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8313","Peperomia subspathulata",4,"https://www.gbif.org/species/4184909",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8314","Peperomia tenuipes",1,"https://www.gbif.org/species/4183883",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8315","Peperomia tequendamana",15,"https://www.gbif.org/species/4183789",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8316","Peperomia tetraphylla",26,"https://www.gbif.org/species/3086448",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8317","Peperomia tovariana",1,"https://www.gbif.org/species/7306040",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8318","Peperomia trianae",1,"https://www.gbif.org/species/4190956",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8319","Peperomia trunciseda",1,"https://www.gbif.org/species/4190417",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8320","Peperomia zarzalana",1,"https://www.gbif.org/species/4187826",NA,"Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Peperomia"
"8321","Perebea guianensis",12,"https://www.gbif.org/species/7262696",NA,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","Perebea"
"8322","Pereute charops",2,"https://www.gbif.org/species/1919235",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pereute"
"8323","Pereute leucodrosime",7,"https://www.gbif.org/species/1919237",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pereute"
"8324","Perichares philetes",2,"https://www.gbif.org/species/1946333",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Perichares"
"8325","Periconia verrucosa",3,"https://www.gbif.org/species/11841476",NA,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia"
"8326","Peridinetus irroratus",1,"https://www.gbif.org/species/1228255",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Peridinetus"
"8327","Periplaneta australasiae",3,"https://www.gbif.org/species/2000204",NA,"Animalia","Arthropoda","Insecta","Blattodea","Blattidae","Periplaneta"
"8328","Perisama bonplandii",5,"https://www.gbif.org/species/1909580",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Perisama"
"8329","Perisama campaspe",9,"https://www.gbif.org/species/1909485",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Perisama"
"8330","Perisama diotima",2,"https://www.gbif.org/species/1909532",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Perisama"
"8331","Perisama humboldtii",3,"https://www.gbif.org/species/1909489",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Perisama"
"8332","Perisama lebasii",2,"https://www.gbif.org/species/1909586",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Perisama"
"8333","Perisama patara",1,"https://www.gbif.org/species/1909531",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Perisama"
"8334","Perisama tryphena",1,"https://www.gbif.org/species/1909506",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Perisama"
"8335","Perisama yeba",4,"https://www.gbif.org/species/1909473",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Perisama"
"8336","Perissocoeleum phylloideum",2,"https://www.gbif.org/species/3633871",NA,"Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Perissocoeleum"
"8337","Peristeria elata",3,"https://www.gbif.org/species/5307524","https://catalogo.biodiversidad.co/file/56e798d583c45700544e41e9/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Peristeria"
"8338","Peristethium leptostachyum",6,"https://www.gbif.org/species/5639278",NA,"Plantae","Tracheophyta","Magnoliopsida","Santalales","Loranthaceae","Peristethium"
"8339","Perrhybris lorena",7,"https://www.gbif.org/species/1919242",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Perrhybris"
"8340","Perrhybris lypera",6,"https://www.gbif.org/species/1919241","https://catalogo.biodiversidad.co/file/56e752aa83c45700544e3f98/summary","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Perrhybris"
"8341","Perrhybris pamela",1,"https://www.gbif.org/species/1919239",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Perrhybris"
"8342","Perrottetia lanceolata",2,"https://www.gbif.org/species/7810589",NA,"Plantae","Tracheophyta","Magnoliopsida","Huerteales","Dipentodontaceae","Perrottetia"
"8343","Perrottetia multiflora",7,"https://www.gbif.org/species/7429495",NA,"Plantae","Tracheophyta","Magnoliopsida","Huerteales","Dipentodontaceae","Perrottetia"
"8344","Perrottetia sessiliflora",5,"https://www.gbif.org/species/8031734",NA,"Plantae","Tracheophyta","Magnoliopsida","Huerteales","Dipentodontaceae","Perrottetia"
"8345","Persea americana",19,"https://www.gbif.org/species/3034046","https://catalogo.biodiversidad.co/file/56e7928683c45700544e4181/summary","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","Persea"
